,tweet,label
0,"@cococheezy ""Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remin… https://t.co/O4YaP7lEwG",Sadness
1,They didn't resurface again until the estranged Yaksha had learned of his master's death. What had been buried so d… https://t.co/bG51ZlvPyU,Sadness
2,"i cried before sleep, cried after, and now i am. the situation's letting me be alone with my misery",Sadness
3,do we really need two hours for this????????? put us all out of our misery #LoveIslandUSA,Sadness
4,"Tessa looked down at Jem, kneeling before her with the pendant in his hands, and understood at last what people mea… https://t.co/uUP4xjFKRZ",Sadness
5,"#RevenueMinister Sir, Mandya Taluk office has become the hub of corruption. Common people can't get things done wit… https://t.co/jhFACakhaT",Sadness
6,"@asma_Lahore @Shrawansoni16 @jagritysablok1 We've been ordained 2 duties
1st to worship Allah alone
2nd to propagat… https://t.co/h8lYA5CuFs",Sadness
7,@_thedanishbear And down there is nice to own🙈,Sadness
8,@sharksprite @weeniedesu This part is absolutely not mentioned enough. If you wake up and can tell your day is gonn… https://t.co/lKdywR5uvv,Sadness
9,"@PilgrimChris Yes, same but in so much sorrow tonight over stuff I can't control, Afghanistan being top of the list… https://t.co/IaQXGcqz1v",Sadness
10,I want a good night out 😭 with a safe driver tho cus after getting a lil drunk I wanna ride home with the windows d… https://t.co/htKLZ53cV1,Sadness
11,@themoonjalishow MY SADNESS,Sadness
12,"""No one notices your tears. No one notices your pain. No one notices your sadness. But they all notice your mistakes.”",Sadness
13,@ChiefsAholic Yes we’ve suffered through the pain and the misery for years; we deserve this!!!,Sadness
14,let that ointment sit on for 5 or you’ll die. leave it on for 12 and i’ll have to hunt down what you’ve become,Sadness
15,sunday sadness,Sadness
16,"Shut down @UN. #KabulHasFallen
No not only kabul has fallen but the humanity has fallen. #Afghanishtan",Sadness
17,"@azimaahmad88 Pippa Pascal, played by Vanessa Williams, is an artist that disappeared a few years ago and that Bett… https://t.co/iFSaFOFieF",Sadness
18,"The blessing of the LORD, it maketh rich, and he addeth no sorrow with it.",Sadness
19,@Thai_with_Booty You are too pretty to be head down but that ass is spectacular.  I'd be in there before you could stop me,Sadness
20,Drug addiction is a disease but you don't catch drugs it can't just start generating in your body from stress or sa… https://t.co/y0BOMPSB2y,Sadness
21,Its so easy to fall back to sadness,Sadness
22,@Miraexx2 sadness is my lifestyle 😭,Sadness
23,“The pain of misery hurts worse than the price of peace”,Sadness
24,In reply to: “Couldn’t check my tears! Maybe I’m getting old?”: Being able to immense yourself in sorrow is a manifestation of innocence.,Sadness
25,@ImCxctus do u accept mm2 items for tears of sorrow?,Sadness
26,"Whatever you get from the devil; fame, riches, wealth brings sorrow, destruction and will eventually kill you.

Be… https://t.co/IOAJDtdYnm",Sadness
27,"one day, the sadness will end",Sadness
28,@SoupandtheCity For the next 16 months it will be a modified version of 45x2. Imbeciles like AOC and Jumaane Willia… https://t.co/5wQZbfMeyr,Sadness
29,@PomPomQuadSquad @BioAndy1 @NeasaEdmunds @nicocorsten @myownvalentine @bru_fanny @terryscot14 @AliceTotterdown… https://t.co/Y52phqCKnH,Sadness
30,The administrator failed before  jinn of khasim valiyulla. He and his family in utter misery life.,Sadness
31,YOOOOOO *falls down stairs*,Sadness
32,"Life is fragile and temporary. The faces of today quickly become the faces of the past. Sorrow, pain, and anger... it all fades ..",Sadness
33,"When I learned about the conditions of his death, I felt nothing but pity for the man, and sorrow for his dog, as h… https://t.co/Wj4vqoowQ1",Sadness
34,Feeling a lot of sorrow for the Afghani people today. Heartbroken.,Sadness
35,it’s almost 5am but i went down a deep dive of all the tv crushes i had growing up…. something abt brunette/raven h… https://t.co/ST7SMRWgBC,Sadness
36,all it is is pain and misery,Sadness
37,"the thing i worried about young k is he tend to work himself too much, takutnya deep down he actually feel lonely",Sadness
38,"@karenandrewsmp Front of the queue 
It’s not a race 
I’m confident NSW won’t need to lock down",Sadness
39,@CarolynCv34 @SpeakerPelosi Sadness that your an American,Sadness
40,"@l_a_c_y___ @MSNBC Karen's judging my countries misery... I'm so fed up even though I am a 34 year, educated man li… https://t.co/Q1IdodOIvy",Sadness
41,@txsguy09 I keep vacillating between sorrow and rage.,Sadness
42,"@bennyjohnson @sixty3tbird #TalibanTrump who set 5,000 taliban fighters free? Who invited the taliban to the WH but… https://t.co/HUKswQ69lQ",Sadness
43,"No one notices your sadness until you turn it into anger,
and then you're the bad person.",Sadness
44,"I am not kidding. If you are a lobbyist, who has profited off of the misery perpetuated by the insanity since my 9/… https://t.co/Z6fETnfMHD",Sadness
45,another day of misery in mbbland,Sadness
46,Tigrayan women have faced the misery of sexual violence for 8 months at the hands of @AbiyAhmedAli's forces. Now th… https://t.co/tyCB151Od4,Sadness
47,Saddest shit is when you move away from ur hometown all excited and then you get hit with a wave of sadness from leaving ur hometown,Sadness
48,"@Kris_Sacrebleu As the father of active duty son and daughter in law, I can't say I'm unhappy to see us leave. At t… https://t.co/PN9p8fNCjq",Sadness
49,Even putting him before Conor McGregor is stupid. I won’t even mention the fact that KSI and Logan Paul are so far down the list,Sadness
50,"Seeing you here somehow alleviates the sorrow. Absurd, isn’t it?",Sadness
51,"steel dulled by time
a smile light and gaily given
a ravine deep as sorrow",Sadness
52,When that mask is shown looking down it creates an illusion of itself crying which would explain even though karen… https://t.co/gDkWUYe2pE,Sadness
53,@CarrotOfWisdom Down air?,Sadness
54,@rubyawoo My hoodie 🥺,Sadness
55,"Beauty 
Love
Success 
Glory
Sadness
Pain
Freedom
Poverty
Happiness
Satisfaction
Wealth
Strength
Endurance
Delicacy
Life
How relative!!",Sadness
56,"@hiimfrida I'm feeling much better now, thank you for checking up on me ^u^ I calmed down when actually sitting in the classroom",Sadness
57,The mix of sadness and rage i felt in that moment and many other moments like it is going to stick with me for a ve… https://t.co/tUSIAtCces,Sadness
58,"@SigynSetFree The future goddess of hell looks at her aunt with sadness and despair. Where she was going, it wouldn… https://t.co/X5ncgr9u9S",Sadness
59,@27_RAMUNE Yes I am celebrating his despair because I was the only in sadness before but now I have my friend with… https://t.co/TtFOcEP0zG,Sadness
60,Tigrayan women have faced the misery of sexual violence for 8 months at the hands of @AbiyAhmedAli's forces. Now th… https://t.co/WNjPYChVg5,Sadness
61,@adventure_ali_ @chicharrona2vax Miserable types who delight in the misery of others.,Sadness
62,@TraceyLeeAU @ben_hr Oh that’s lucky about the driving. So hard though. We had also bought a house that we’d just m… https://t.co/VZJhDVMwwW,Sadness
63,"@cyyfapse Sorry to hear, can't begin to imagine how that would feel. Just almost constant sadness all the time?",Sadness
64,@SofritoProject That definitely tastes like sadness,Sadness
65,@TheTruestPiano glad i could help. i just have an immense dislike for online losers trying to spread depression to… https://t.co/DYZQ4VcJY5,Sadness
66,"Fucked up my choice, wish I could delete all our memories
Keep poppin' these pills, I hope it take away my misery",Sadness
67,"@janetmiz @LynnBrittney2 Reported both as suspicious, fake, block. They’ll go and set up more, that’s if Twitter ac… https://t.co/MCDppPdD3D",Sadness
68,"@PesUniverse @techradar Do not dumb the game down, so that mobile phone users can compete against console users!!",Sadness
69,"It was #Trump who blasted US invasion of Iraq despite no WMD and it made an entire mess of the region.
#Biden who s… https://t.co/Lin4QNF8f5",Sadness
70,@AdamJSchwarz Dom hadn't quite understood the full extent of the need to put his bucket and spade down and get back to the office.,Sadness
71,"3. 
She would console me when the one I lived wasn’t around and I couldn’t even bring myself to look in the eyes of… https://t.co/f77EofYwXX",Sadness
72,@g_relevant I Praise and thank God for you my brother. Anchor yourself in the Word and you will never be under any… https://t.co/QAN2CrbCLh,Sadness
73,@samchtai I remember the news in Saigon in 1975. We’re in 2021. Sadness,Sadness
74,P.J Walker 👀👀👀,Sadness
75,@NLRG_ me and my friends sometimes spit on bus windows and see whose spit runs down to the bottom of the window faster,Sadness
76,"@Kaptaan_Sorrow @anticastebunny my brethren voting for rss is brainwashed and Stupid and needs awakening.
That was… https://t.co/13r66BrXYX",Sadness
77,"Just found out Nanci Griffith died on Friday. She had a voice full of warmth and intimacy, plainspoken and guileles… https://t.co/SzutagbmVw",Sadness
78,@SinghLions After allowing the Taliban to have their victory dance US will use special ops proxy and tribal wars to… https://t.co/rufQRiGfIM,Sadness
79,Tigrayan women have faced the misery of sexual violence for 8 months at the hands of @AbiyAhmedAli's forces. Now th… https://t.co/4JVfZuTQfy,Sadness
80,@thesecret But always alone.....in sorrow...,Sadness
81,"TODAY'S WORD 
 Our days may come to seventy years, or eighty, if our strength endures; yet the best of them are but… https://t.co/n8OMpgZuC6",Sadness
82,Let our best memories bring u sorrow,Sadness
83,@multigame_org There will be imperfections in the lives of all people. The man who is so full will ask him about hi… https://t.co/GZca4d8ncK,Sadness
84,@AhmedKhateeb76 ana bringer of sorrow??,Sadness
85,@TomChivers @Psythor @NiranjanAjit Sure I just mean that the initial response for which political support was being… https://t.co/HY82FaWFOH,Sadness
86,"@MishackT_8 @OfficialPSL @FIFAcom Get over it Khosi, we lost Chiefs played well coming from 2 goals down better luc… https://t.co/P6NxPN5fsy",Sadness
87,"@ANI 😂😂😂😂😂  You will live trough your misery for a long long time to come !!!  ""Waste Bengal"" is NOT India ...  wak… https://t.co/3ICYM7Gst9",Sadness
88,Tigrayan women have faced the misery of sexual violence for 8 months at the hands of @AbiyAhmedAli's forces. Now th… https://t.co/bczpSreU5d,Sadness
89,Sadness some of them live across the globe 🥺,Sadness
90,"@plyons45 I share your sorrow Paul, it’s devastating. Truly an affront to humanity, and by the looks of it not only… https://t.co/RjaAnNem0P",Sadness
91,@KarinaLizPerez @khaledhosseini @Refugees Did you get any feedback yet? Is the interpreter safe now? Why should all… https://t.co/aLhqNz6D2M,Sadness
92,@FACEBOOK i could be a AI bot flesher outer like you do the AI on the AUTOBOT and i sit down and put the AUTOBOT TO… https://t.co/mYVvWX3jAA,Sadness
93,Sorrow has simply turned to last week’s emotion. May you their gentle souls Rest In Peace.,Sadness
94,"@aquaphobicaries @khanumarfa Worst human tragedy &amp; misery? No way !
It's the land of pure &amp; rule of peacefuls as ordained in Koran.",Sadness
95,@Protheon_ Disappointment and sorrow. Always expect the worst. That way when shit hits the fan you are never surprised.,Sadness
96,"He smiled, put his hands on the back of her neck, fingers in her hair, and leaned in to press his forehead against… https://t.co/igNwgtp4QY",Sadness
97,🎵That little bit selfishness in humanity I finally understand after losing my way. You and I share too many similar… https://t.co/JfJnHqAPof,Sadness
98,I’m only tweeting incase anyone can tell me what the point of the last 20 years of war with Afghanistan was. I mean… https://t.co/qEQ89YLG8r,Sadness
99,@Adityasays2U @Vk__stan @Itz_Aarya_Abhi_ ironic pipe down,Sadness
100,let the sorrow be with me,Sadness
101,"@it_meirl_bot down never cry goodbye up you say gonna let give tell run make desert a lie hurt around and

yes",Sadness
102,@matthaig1 I so need to see this - every day. I can’t even sit down without having 'something' to do.,Sadness
103,"@LLF_14 @Kaz7ii Interceptions, clearances and closing down people is far far easier than going past people, breakin… https://t.co/QWZNQbTMKZ",Sadness
104,Take your soldiers and retreat. Wait for us at the capital. We're off to tear down the twisted world that's been built up around you.,Sadness
105,tryna get the sadness fucked outta me lolzz,Sadness
106,"There is little to be cheered about Afghanistan today. There are lessons that should be learned, but probably won’t… https://t.co/mzQQk9Y6zq",Sadness
107,"@giddypop @ChrisMarchant5 We live down south now, but we still have family up there. The last live game me and my d… https://t.co/TYsN2nA25r",Sadness
108,Nico sensed Jason’s sorrow like an oncoming storm.,Sadness
109,Rattling noise from left side on #TataAltroz cars. A very irritating sound that has been reported by almost all the… https://t.co/6UWfHlVfW0,Sadness
110,"@mattjcan You are a horrible person, not fit to serve public office. Making jokes like this while thousands of peop… https://t.co/8SFR2OLaTs",Sadness
111,"@AFCMet That’s too high for me, anything under 200 I’ll be quietly confident, above 220/230 I’m bricking it. Hope i… https://t.co/z8x9Xj1VDQ",Sadness
112,"@Progeny0f Ppl who are kind enough to wish well for others deserve a thank you :)

Ah I’m sorry to hear about this… https://t.co/cWFcCv9MJf",Sadness
113,im down bad but I JUST WANT MORE TXTBZ INTERACTIONS,Sadness
114,Millions of Afghans around world couldn’t sleep last night due to the pain &amp; sorrow of their beloved country which… https://t.co/JboVFlxBvT,Sadness
115,Now ppl of #India are scoffing at the bogus slogan of #SabKeSaathSabkaVikasSabkaVishwasSabkaPrayass...and calling i… https://t.co/ufagHsHeyZ,Sadness
116,@mmuk021 but now it has changed . It doesn't matter if their like him or not. and each people has their own point o… https://t.co/MH5zXrfdFv,Sadness
117,"@HockeenightsCT @hockeenight Well CT @HockeenightsCT , just be glad you didn't have to go what we went through.  Br… https://t.co/MuxMchpFQA",Sadness
118,"@jessicahkim no point saying compliments i doubt you would accept, it's ok to be down sometimes. thank you for read… https://t.co/oEzhJTX1Ii",Sadness
119,"@GeniePointEV I was pleased to charge at the new charger at Alvechurch, near Birmingham but I’ve only had one succe… https://t.co/bnATTFpZ6g",Sadness
120,If you ain’t layin it down proud and loud you ain’t doing it loud and proud,Sadness
121,Tigrayan women have faced the misery of sexual violence for 8 months at the hands of @AbiyAhmedAli's forces. Now th… https://t.co/q8wUBhekSm,Sadness
122,"Despite the cowardice, its in the nature of the current to approach.

Link does, he is still loyal at fault, and st… https://t.co/eIR10cOkEZ",Sadness
123,@ines_eatsalot I heard he kicked a kid down some stairs… and said “up yours” to his Dad,Sadness
