,tweet,label
0,,Surprised
1,Why you bhakts are speechless when a 9yr minor rapedburnt by priest and others.When a sanghi raped a girl. You al,Surprised
2,MeirYt I was way too speechless,Surprised
3,Yujin dazed behind the scene when,Surprised
4,60   Im super dazed amp slightly confused. Ive seen about 4 definitions now.,Surprised
5,ceritanya speechless,Surprised
6,KENAPA SPEECHLESS. T  T,Surprised
7,Honestly amazed they let him play that on Saturday morning cartoon.,Surprised
8,Who wouldnt like a lady with a scythe thoo  face with tears of joy,Surprised
9, Like Im still amazed by this...,Surprised
10,The obsessions and the audacity of some people thinking content creators celebrities or people with a presence onl,Surprised
11,Amazed with how in character this is  loudly crying face,Surprised
12,Speechless  woozy face  man facepalming,Surprised
13,huhuthank youuu speechless aq haha  yellow heart  cybyb,Surprised
14,that one move w sunghoon in the center reminded me so much of drunkdazed,Surprised
15,Its.... Beautiful Im speechless no lie its not just an au. Its a MASTERPIECE. I love what you d,Surprised
16,Obama foreign policy gave ISIS free reign over Iraq and Syria. Biden will do the same for the Taliban in Afghanis,Surprised
17,Who watches white lotus on hbo max   raised back of hand,Surprised
18,marry me,Surprised
19,The cold night air snapped him out of his dazed state and Bakugou started to struggle slapping at Kirishimas hold on him.,Surprised
20,in kin tuck eat im so surprised i go to a big school,Surprised
21,2fargo Why is he surprised Hes the one who voted for Biden. I know cuz you told me What is up with this du,Surprised
22,Once again I am amazed how much the simple words can say. The story the pain it just breaks me. Grea,Surprised
23,I am literally so amazed by jungkooks skating skills he is just perfect,Surprised
24,Dude same for bothWe just built different though Im amazed Ive been avoiding it so far,Surprised
25,Delete Facebook Im amazed people still go on that blasted website. IG not much better they are so both so toxic.,Surprised
26,there are no words that can capture how truly proud i am of you. every music release whether it be a single album,Surprised
27,vh1playlist play DrunkDazed by ENHYPEN.....,Surprised
28,Just dont be surprised,Surprised
29,Thank you for this analysis. I had read the original article but was completely unaware of the Qr,Surprised
30,66 Speechless,Surprised
31,Really baffled Utterly speechless ,Surprised
32,Fantastic Im speechless cant wait for celebremos lo inevitable,Surprised
33,Why did experts ever think it should be any other way  So many,Surprised
34,23 Sam was surprised but it didnt seem to be negatively so. Uh hey Cas. Im great actually. How,Surprised
35,Fire911    Jakota     Plus that was a horrible roster period last year. Im sur,Surprised
36,Speechless at the lack of Taylor release today.,Surprised
37,LRT Stunned. Shocked. Speechless. The online wrestling fandom lost something special and irreplaceable. Didnt know,Surprised
38,lmao please,Surprised
39,I havent listened to  butter but if its better than willow Id be amazed,Surprised
40,the way fever is abt to surpass drunkdazed in streams,Surprised
41,Weak leadership. Not surprised considering the current administration and its woke minions. Lol.,Surprised
42,country Well I was surprised by how he looked at the KingsRoyal minus the night cap.  From what I heard on,Surprised
43,I was kind of amazed at how much I liked the colour tbh. I didnt expect it to be so silver. I guess s,Surprised
44,2. Saigon OKAY OKAY WOAH A VIBE Speechless just speechless. LUKE HEMMINGS WTH,Surprised
45,Theyre surprised yoongi has a solo stan because they know how they portray him to people other than the army,Surprised
46,I am again speechless.,Surprised
47,Lol idk why I be surprised,Surprised
48,Wow.  Im kinda speechless  face without mouth,Surprised
49,Im not surprised.,Surprised
50,Whoa soul searching speechless,Surprised
51,HE WAS SO AMAZED FUCJKCKCK,Surprised
52,Yall..ImSo fucking speechless right now. Like.YUNGGGGGG,Surprised
53,qxeen Youre quite welcome.Seeing the axe appear besides Stargazey she stares at it speechless. Someo,Surprised
54,TopRadio Please play   DAZED ALBUM,Surprised
55,4nny4karl   You what kind of person I am in the gc dont be surprised,Surprised
56,Adam is so amazed with you kweenKIRSTEN FOR UNIVERSEKisses4Universe,Surprised
57,7        ,Surprised
58,When I moved down here to Exmoor I was amazed to find that the air ambulance was a charity.,Surprised
59,Thrush and Starling,Surprised
60,IT RHYMES SHUSH YOURS DOESNT EVEN WORK gt,Surprised
61,no not all were aired. some of them only had barely 5secs to air so i was actually surprised when i,Surprised
62,No1 all rounder in the world Out of the world Speechless folded hands  folded hands  folded hands  folded hands  folded hands  folded hands  folded hands  folded hands  folded hands  folded hands  folded hands  folded hands,Surprised
63,Want to annoy a web developerOpen their website on Safari. Youd be amazed to see almost all MNC websites break,Surprised
64,Sparkle U surprised me again sneezing face,Surprised
65,Solskjaer I wouldnt be surprised if other teams targeted Anthony Martial because he is a very good player. Bac,Surprised
66,88Gassi Wow just wow .I continue to be amazed every day at people.,Surprised
67,nChief Im amazed that character doesnt get the love it deserves next to Liam Neesons Taken character or,Surprised
68,be amazed by what you do be amazed by who and what you can inspirebe amazed by the goodness inside of yoube amaz,Surprised
69,I am 72imagine living that long and being amazed at the idiocy that we are seeing nowididnt thi,Surprised
70,Or Dennis Rodman and Marilyn Manson,Surprised
71,20 most likely but if i see willian i aint gona be surprised,Surprised
72,Kate Middleton and Selena Gomez.,Surprised
73,1Lead   Wow I was so amazed a new programme from   a exchange global VIP I want to be a part,Surprised
74,Iswear listening drunk dazed just give you likevibing,Surprised
75,This is killing me  rolling on the floor laughing  Why am I not surprised by the apparent lack of interest by   i,Surprised
76,18  98   Yeah have to say I was surprised to finish commenting on this post to refresh,Surprised
77,1882 To be fair notwithstanding the subtext to this Leicester have recently won the league and cup from,Surprised
78,is my fave,Surprised
79,1965 speechless..,Surprised
80,I love her so much the way she got her Bama hat from J.C.Penny... speechless,Surprised
81,I just listened to when facing the things we turn away from im speechless it was so beautiful. The lyrics the vo,Surprised
82,I dont get left on read I leave them speechless,Surprised
83,sunghoon fave mo yung drunkdazed dba YOU LIKE DRUNKDAZED NUTS,Surprised
84,uge HELLO I have recently seen your artworks and I am amazed at your talent .......... I would like you to ad,Surprised
85,i will never stop being amazed by people who can draw. like im constantly in genuine awe. you just have an idea in,Surprised
86,Only JYP is really visual like tzuyu being wasted. dont want to be surprised but its JYP sleepy face,Surprised
87,Streaming 0X1 lovesong ikily PTD and DrunkDazed lt33,Surprised
88,I am speechless   Truly pathetic,Surprised
89,00ing  worried face  worried face aww.. they are just ....im speechless... sneezing face,Surprised
90,The best way to maximize your bottom line is to make sure you have a strong top line. This may seem like the most b,Surprised
91,im the type of person whose playlist would go from alcoholfree to drunkdazed,Surprised
92,GOOD MORNING UR SO PRETTY,Surprised
93,He accepted and surprisingly he got dazed from the person in front of his screen. Keiji noticed 3 things Hair dow,Surprised
94,here i am,Surprised
95,DAZED DAZED DAZED dlm hati TAHAM TAHAN TAHAAANN,Surprised
96,There is a special place in hell for all these people. Cant imagine the trauma that the,Surprised
97,Who grabbed spilled mashed potatoes with their bare hands and now have burns on their finger tipsIm constantly,Surprised
98,how did enha went from drunkdazed and fever to hello tayo and billy poco loudly crying face,Surprised
99,Speechless...only love.GinoStrada,Surprised
100,786 No seriously. I am amazed at the energy level of these people. Ya toh bohat farigh hain ya phir frustrated,Surprised
101,flaneur Oh i see yes thats true I forgot about that part,Surprised
102,Very telling. Sadly not surprised by that though  pensive face,Surprised
103,groen Oh yes ... having some postviral bambam which I was ignoring until J pointed out my smile was wonky amp,Surprised
104,Im always surprised when people put Brighton so high until they get a prolific striker who can tur,Surprised
105,Dazed and confused  face exhaling,Surprised
106,Good just amazed at how you get more beautiful more funny and smart every time I see you. You think,Surprised
107,haze like he just doesnt stfu  sleepy face  sleepy face  sleepy face  how are you with him,Surprised
108,Im surprised the dispersion wasnt better with the mini than with the 460,Surprised
109,1 Amazed by the comments on here . People actually believe a state of perpetual lock down with the populus,Surprised
110,Im speechless like how can I describe riya sharmas achievements its unlimited A TRIBUTE TO MAYURAEXCELLENCE OF,Surprised
111,That day she was amazed to discover that when her phone was saying Excessive heat warning what it meant was I love you.,Surprised
112,1998        pikapikaa  ralphygaillyy When Im alone,Surprised
113,I think that may be true of small towns. But countervailing forces in areas where bulk of rural SAns li,Surprised
114,Django UnchainedOffice SpaceDark KnightA Star is Born 2018Dazed and Confused,Surprised
115,at this he is so overwhelmed that he passes out in courthe feels cold. dazed. he no l,Surprised
116,Thats Hawk from Buck Rodgers and my girlfriend from 9th grade.,Surprised
117,I peep it and then I move around.I be amazed at the decisions adults make and expect to be saved,Surprised
118,can you believe that there are currently three acting projects that are in store and secured for kyungsoo right now,Surprised
119,2 Im genuinely surprised she sent that tweet.,Surprised
120,lets interact more drunkdazed,Surprised
121,44005210  3www surprised he never won a aussie title,Surprised
122,I wont be too surprised if other issues muncul. But yeah. Actually speechless now. Couldnt even,Surprised
123,.  is the first and only group debuted in 2020 to have 5 songs surpassing atleast 20M streams on SPOTIFY.,Surprised
124,18593976      33720945        ,Surprised
125,drunk dazed es un TEMON,Surprised
126,bitch im speechless i luv this,Surprised
127,2MD   Amazed that some doctors are so bad at risk assessment. Scary for patients.,Surprised
128,when i say i love top michi i mean dazed drooly oversensitive and overwhelmed top michi  red heart,Surprised
129,Time to be amazed XhuntersTime to be amazed Xhunters,Surprised
130,I remember asking someone that and they humbly saud its not about me it has everything to do with the k,Surprised
131,My silence doesnt mean I agree with you. Its just that your level of ignorance has rendered me speechlessWE LOVE YOU RAHUL VAIDYA,Surprised
132,HAHAHAHA PAAT LOST AND DAZED TRULY,Surprised
133,No because Im surprised no one wanted dayeon in her cell like she was a center she is popular by default,Surprised
134,Try it amp your next stop will be dazed amp confused,Surprised
135,1     Because kids themselves dont live or have to live under the psycholo,Surprised
136,Drunkdazed kinda gives off Blood sweat and tears vibesss lahhh,Surprised
137,kshoppe enhypen drunk dazed 035 PandiGames,Surprised
138,Is anyone surprised,Surprised
139,Alison Hernandez says she is speechless on r4today about the awful incident in plymouth last night Also Alison,Surprised
140,Genuinely amazed people still take this the wrong way after all this time,Surprised
141,Surprised you a ippo fan ngl,Surprised
142,truck Addy seems a little dazed now from the second kiss her lids slack and her smile is a little dopey,Surprised
143,they admired the ring on their finger before looking up at the same time he did eyes widening sligh,Surprised
144,3 Even then I wouldnt be surprised to see him on the team sheet,Surprised
145,still happy amp amazed lt333,Surprised
146,Haha I know they do. Just was surprised that you knew its also the best place to buy a car,Surprised
147,minta reserve sampai 1 month thinking face  i mean speechless,Surprised
148,And youre surprised  People have been running the same garbage plays in madden for years because of,Surprised
149,Theyll be amazed when theyll learn we were actually having fun.,Surprised
150,Deciding between a vaccine and covid is kinda like picking between a revolver with 1 bullet and 5 bullets.Im equ,Surprised
151,THE WINGS IM SPEECHLESS,Surprised
152,dazedraccoon Im sorry do I know you Cant believe the locals found me smh  face with rolling eyes,Surprised
153,dazed dazed dazed IRENE IN QUEENDOM CARNIVALSEULGI IN QUEENDOM CARNIVALD3toQueendom   TeamLindinha,Surprised
154,What I find interesting about those episodes is that they make you empathize with,Surprised
155,For a few years the endless brainstorm picked up a few ideas in the ether. I am excited for these ideas  the new f,Surprised
156,i knew id love this album but i did not expect to find myself in every single song im actually speechless at this point,Surprised
157,Im surprised anitvaxxers and only hesitant about this vaccine types are not praising the covid positive border c,Surprised
158,I wouldnt be surprised if CBU students went to HHs House to pick him if he won.. Yes wed get on a bus from Kitwe just to go to his house,Surprised
159,hes amazed,Surprised
160,just scrolling the tl and theres a video titled this is jungkooks first life and its him with his big doe eyes,Surprised
161,Im amazed that cross on your neck hasnt erupted in flames. WWJD,Surprised
162,ro Really Seriously Why am I surprised,Surprised
163,Im dead ass amazed the power hasnt gone out cause this shit is crazy,Surprised
164,Not surprised...Hermes do this all the time...,Surprised
165,People here are surprised with Sabyasachi pricing 9999 for a simple cotton saree. MG Marg fellas are doing that since ages.,Surprised
166,Thats beautiful. Are you going to get it framed I never cease to be amazed at your talents.  clapping hands  face with open mouth  face blowing a kiss  heart suit,Surprised
167,While taking pics it justBaffles meThat I never thought Id do a savage raidAnd here I amIm not good I have,Surprised
168,another guy will be delivering my package. So I waited and at 12.09 i got a call from wallet. When i got to him h,Surprised
169,5 Im still amazed that theres so much proof she even said herself the only reason she made those,Surprised
170,Its so weird you kind of remind me of my friend... her name is Rihanna or something...,Surprised
171,68459005 That answer depends on ones timeframe. Id just keep stacking consistently  whether one has 100,Surprised
172,Hastur does realize he quite likes Eli begging and whining underneath him but the whole act of sex takes him a whi,Surprised
173,enhypen drunkdazed gfriend labyrinth svt hit,Surprised
174,fess Drunk dazed mixed up,Surprised
175,I was always amazed at the editing,Surprised
176,11             I was amazed that L.A. county crossed 10 million.,Surprised
177,According to the 2016 census there are around 48000 Aboriginal people in Victoria. You would be amazed shocked t,Surprised
178,And once they find their balls you should not be surprised to see even more gender critical men joining the choru,Surprised
179,3rysam im speechless,Surprised
180,drunk dazed dong,Surprised
181,Is that true Holy crap Im speechless  speaknoevil monkey   flushed face,Surprised
182,I am just amazed at how politicized mask wearing is even with all the science that mask work. There is one pe,Surprised
183,1 I will be very surprised if anything comes of this now. I hope for their sake that its something m,Surprised
184,Little amazedin a common Outlet say XYZ store   at a common platformplace  Airport  with a common price tag,Surprised
185,BTS  mic drop idol fire dope dionysus blood sweat n tears.Drunk dazed  Enhypen,Surprised
186, I liked it. But the beginning felt a bit draggy compared to the ending.,Surprised
187,HAHAHAAHAH ACTUALLY IM SURPRISED THAT WERE MOOTS BECAUSE I HAVENT FOLLOW ANYONE WHO HAS THAT AS THEI,Surprised
188,CHEF be amazed if Luk plays but team looks mint.,Surprised
189,Di ko kinaya yung Glorious. I  shouldnt be affected because the age gap between  redacted and I have is on,Surprised
190,chiinenye Some girls were singing it when Sammie wanted to propose Peace last night.I was pleasantly surprised.,Surprised
191,Im amazed anyone could still be amazed by anything done by these crazies,Surprised
192,HUY BAT DRUNK DAZED HAHAHAHA,Surprised
193,Tina Turner e Siouxie and The banshees,Surprised
194,Youre an excellent artist Rash Im amazed I really wish you pull him,Surprised
195,Surprised you spelt it right ,Surprised
196,Marshall3 Im always amazed meeting KRIT fans because back home I felt like I was alone and thought I kinda h,Surprised
197,I know loudly crying face  but tbh i was also surprised that Jeff posted today ,Surprised
198,squad Threw out a crank bait. Twitch it a couple of times. Then I got the biggest blow up I ever seen. Star,Surprised
199,130813 Jonghyuns twitter updateI just saw tons of shooting stars and got so excited that I woke up all the membe,Surprised
200,sis that voice. Im speechless  loudly crying face  red heart,Surprised
201,I never believed that shit just thought there was always and explanation but there is nothing on this earth that ca,Surprised
202,72 It hasnt. I honestly only watched this movie in its entirety because,Surprised
203,Loves Haze Your kisses make me dazedyour eyes always amazeyou fill my nights and days Im always in a haze,Surprised
204,I was talking to my tita earlier about how I think people might perceive my lack of reaction to the recent events w,Surprised
205,Vh1Playlist please please play DRUNKDAZED by ENHYPEN..,Surprised
206,Chiefs lost 5 Olineman last year. 2 opted out amp 3 to injuries. 3 of 5 lost starters prior season.,Surprised
207,Fx Looks like a great bit of kit Something Im surprised Lancs never got a long time ago any ideas whe,Surprised
208,Good he deserves a long nice vacation Im surprised how well he has handled this COVID pandemic Cant,Surprised
209,cravity drunk dazed,Surprised
210,Why is anyone surprised,Surprised
211,Solskjaer on Martial I wouldnt be surprised if other teams targeted Anthony because he is a very good player. Ba,Surprised
212,There was one about John Lennon and Yolo Ono that Yolo Ono produced. If anyone can beat that for bad Id be surprised.,Surprised
213,I am really amazed how X the series still suits our contemporary situation. Even more so with climate change... a,Surprised
214,the fact that im not really surprised is the worst part loudly crying face  loudly crying face  loudly crying face  loudly crying face,Surprised
215,10gvlvxy   Capable of 12 for sure no one would be surprised if they did get there but you also said if,Surprised
216,When he is smiling you just have to smile too. Im amazed how his smile works beaming face with smiling eyes,Surprised
